dataset,rep,corr_method,penalty_agg,corr_scope,fit_seconds,accuracy,macro_f1,auc
WDBC,0,pearson,product,global,0.0326844999945024,0.935672514619883,0.9311115180369895,0.9680928738317757
WDBC,0,spearman,product,global,0.0341364999912912,0.935672514619883,0.9311115180369895,0.9634929906542056
WDBC,0,pearson,min,global,0.030353100009961054,0.935672514619883,0.9311115180369895,0.9549503504672897
WDBC,0,pearson,mean,global,0.031919000000925735,0.935672514619883,0.9311115180369895,0.9549503504672897
WDBC,0,pearson,product,node,0.029751699999906123,0.935672514619883,0.9311115180369895,0.9664135514018691
WDBC,1,pearson,product,global,0.029344000009587035,0.9473684210526315,0.9446343130553656,0.9682389018691588
WDBC,1,spearman,product,global,0.031965699992724694,0.9473684210526315,0.9446343130553656,0.9691150700934579
WDBC,1,pearson,min,global,0.02926080000179354,0.9415204678362573,0.9375730140186915,0.9550963785046729
WDBC,1,pearson,mean,global,0.03142300000763498,0.9473684210526315,0.9446343130553656,0.9682389018691588
WDBC,1,pearson,product,node,0.031044399991515093,0.9239766081871345,0.9174741062479117,0.9544392523364487
WDBC,2,pearson,product,global,0.031790799999726005,0.9532163742690059,0.9503628447024673,0.9748831775700935
WDBC,2,spearman,product,global,0.03461719999904744,0.9532163742690059,0.9503628447024673,0.9705753504672897
WDBC,2,pearson,min,global,0.03214470000239089,0.9532163742690059,0.9503628447024673,0.9882447429906542
WDBC,2,pearson,mean,global,0.03374839999014512,0.9532163742690059,0.9503628447024673,0.9748831775700935
WDBC,2,pearson,product,node,0.033673999991151504,0.9473684210526315,0.9439895185063871,0.966632593457944
WDBC,3,pearson,product,global,0.0315340999950422,0.9415204678362573,0.9375730140186915,0.9549503504672897
WDBC,3,spearman,product,global,0.03422699999646284,0.9415204678362573,0.9375730140186915,0.9549503504672897
WDBC,3,pearson,min,global,0.03188399999635294,0.9415204678362573,0.9375730140186915,0.9556804906542056
WDBC,3,pearson,mean,global,0.033773499992094,0.9415204678362573,0.9375730140186915,0.9564106308411215
WDBC,3,pearson,product,node,0.03405840000777971,0.9590643274853801,0.9558709677419355,0.9585280373831776
WDBC,4,pearson,product,global,0.028803499997593462,0.9298245614035088,0.9255442670537011,0.9577978971962616
WDBC,4,spearman,product,global,0.030482599991955794,0.9298245614035088,0.9255442670537011,0.9732768691588785
WDBC,4,pearson,min,global,0.027915799990296364,0.9298245614035088,0.9255442670537011,0.9732768691588785
WDBC,4,pearson,mean,global,0.029812199994921684,0.9298245614035088,0.9255442670537011,0.9583089953271027
WDBC,4,pearson,product,node,0.02758429999812506,0.9415204678362573,0.9375730140186915,0.9724007009345794
WDBC,5,pearson,product,global,0.032935499999439344,0.9415204678362573,0.9386481056257175,0.9710864485981309
WDBC,5,spearman,product,global,0.03589949999877717,0.9415204678362573,0.9386481056257175,0.9685309579439253
WDBC,5,pearson,min,global,0.034701500000664964,0.9415204678362573,0.9386481056257175,0.9727657710280374
WDBC,5,pearson,mean,global,0.03554989999975078,0.9415204678362573,0.9386481056257175,0.9710134345794393
WDBC,5,pearson,product,node,0.02812459999404382,0.9239766081871345,0.9200273410799726,0.951007593457944
WDBC,6,pearson,product,global,0.0298289000056684,0.9064327485380117,0.9018369690011481,0.9420268691588785
WDBC,6,spearman,product,global,0.03220109999529086,0.9064327485380117,0.9018369690011481,0.9423189252336449
WDBC,6,pearson,min,global,0.029777599993394688,0.9122807017543859,0.9082125603864735,0.9353095794392523
WDBC,6,pearson,mean,global,0.03193629998713732,0.9122807017543859,0.9082125603864735,0.9436331775700935
WDBC,6,pearson,product,node,0.0310345000034431,0.9064327485380117,0.9018369690011481,0.9423189252336449
WDBC,7,pearson,product,global,0.027252899992163293,0.9590643274853801,0.9561618751144478,0.9617406542056074
WDBC,7,spearman,product,global,0.027920799999265,0.9707602339181286,0.968479262672811,0.9626168224299064
WDBC,7,pearson,min,global,0.03011230000993237,0.9590643274853801,0.9561618751144478,0.961448598130841
WDBC,7,pearson,mean,global,0.032475100000738166,0.9590643274853801,0.9561618751144478,0.9617406542056074
WDBC,7,pearson,product,node,0.027732400005334057,0.9532163742690059,0.9493933116306599,0.9641501168224299
WDBC,8,pearson,product,global,0.02893949999997858,0.8947368421052632,0.8844594594594595,0.9248685747663551
WDBC,8,spearman,product,global,0.035734699995373376,0.9239766081871345,0.9200273410799726,0.9407856308411214
WDBC,8,pearson,min,global,0.028934600006323308,0.8947368421052632,0.8869047619047619,0.9467727803738317
WDBC,8,pearson,mean,global,0.03124869999010116,0.9005847953216374,0.8928294930875575,0.9482330607476636
WDBC,8,pearson,product,node,0.029152700008125976,0.9005847953216374,0.8928294930875575,0.9491092289719625
WDBC,9,pearson,product,global,0.03468930000963155,0.9181286549707602,0.912037037037037,0.9283732476635513
WDBC,9,spearman,product,global,0.0364704000094207,0.9239766081871345,0.9185863394982603,0.9478679906542056
WDBC,9,pearson,min,global,0.03461519999837037,0.9239766081871345,0.9185863394982603,0.9434871495327102
WDBC,9,pearson,mean,global,0.03365009999834001,0.9239766081871345,0.9185863394982603,0.9592581775700935
WDBC,9,pearson,product,node,0.03494610000052489,0.9239766081871345,0.9185863394982603,0.9436331775700935
Synthetic,0,pearson,product,global,0.06317279998620506,0.8266666666666667,0.8266358463726885,0.8702880512091039
Synthetic,0,spearman,product,global,0.0666378000023542,0.8266666666666667,0.8266358463726885,0.8702880512091039
Synthetic,0,pearson,min,global,0.06758100001025014,0.8266666666666667,0.8266358463726885,0.8731107752489332
Synthetic,0,pearson,mean,global,0.12255680000816938,0.8,0.7998576765700054,0.8570412517780938
Synthetic,0,pearson,product,node,0.0917732999951113,0.8266666666666667,0.8266358463726885,0.8677098150782361
Synthetic,1,pearson,product,global,0.10556789999827743,0.8366666666666667,0.8366503316998366,0.8544852418207681
Synthetic,1,spearman,product,global,0.13008519999857526,0.8333333333333334,0.8333036984352773,0.8512624466571834
Synthetic,1,pearson,min,global,0.1102588000067044,0.8333333333333334,0.8333036984352773,0.8477062588904694
Synthetic,1,pearson,mean,global,0.07744219999585766,0.83,0.8299981110901232,0.8454391891891891
Synthetic,1,pearson,product,node,0.08531839998613577,0.82,0.8197997775305895,0.829414118065434
Synthetic,2,pearson,product,global,0.10862980000092648,0.8,0.8,0.8225240042674253
Synthetic,2,spearman,product,global,0.12721769999188837,0.8133333333333334,0.8133333333333334,0.8416385135135134
Synthetic,2,pearson,min,global,0.10588500001176726,0.8133333333333334,0.8133333333333334,0.853329480796586
Synthetic,2,pearson,mean,global,0.1201164000085555,0.7766666666666666,0.7766443310997766,0.8169452347083926
Synthetic,2,pearson,product,node,0.10329679999267682,0.7833333333333333,0.7833116644997833,0.8177898293029872
Synthetic,3,pearson,product,global,0.0707171000103699,0.7733333333333333,0.773172033446006,0.8192123044096729
Synthetic,3,spearman,product,global,0.07681739999679849,0.7733333333333333,0.773172033446006,0.8192123044096729
Synthetic,3,pearson,min,global,0.07621250000374857,0.8,0.7998576765700054,0.8280360953058323
Synthetic,3,pearson,mean,global,0.07194829999934882,0.7533333333333333,0.7517444981213097,0.8109886201991465
Synthetic,3,pearson,product,node,0.07365849999769125,0.7933333333333333,0.7932506335867681,0.8313033428165006
Synthetic,4,pearson,product,global,0.08132539999496657,0.7766666666666666,0.7766443310997766,0.8179898648648648
Synthetic,4,spearman,product,global,0.06956580000405665,0.7766666666666666,0.7766443310997766,0.8300142247510668
Synthetic,4,pearson,min,global,0.07263229999807663,0.7766666666666666,0.7766443310997766,0.8179898648648648
Synthetic,4,pearson,mean,global,0.06938499999523629,0.8,0.7999644381223329,0.8442834281650071
Synthetic,4,pearson,product,node,0.08125800000561867,0.7766666666666666,0.7766443310997766,0.8236353129445234
Synthetic,5,pearson,product,global,0.17219199999817647,0.8033333333333333,0.8030685699662881,0.8378156116642959
Synthetic,5,spearman,product,global,0.09491739999793936,0.8033333333333333,0.8030685699662881,0.8378156116642959
Synthetic,5,pearson,min,global,0.07020429999101907,0.8033333333333333,0.8030685699662881,0.8378156116642959
Synthetic,5,pearson,mean,global,0.077115700012655,0.8033333333333333,0.8030685699662881,0.8364820412517782
Synthetic,5,pearson,product,node,0.07725659999414347,0.7933333333333333,0.7932506335867681,0.8349039829302987
Synthetic,6,pearson,product,global,0.06665909998991992,0.81,0.8098288459613652,0.8655538762446657
Synthetic,6,spearman,product,global,0.081122100003995,0.8066666666666666,0.8064516129032258,0.8640424964438123
Synthetic,6,pearson,min,global,0.0755390999984229,0.81,0.8098288459613652,0.8631534495021336
Synthetic,6,pearson,mean,global,0.0688908000010997,0.8033333333333333,0.8026997804059703,0.8566189544807966
Synthetic,6,pearson,product,node,0.07437869999557734,0.8033333333333333,0.8032786885245902,0.8471061522048364
Synthetic,7,pearson,product,global,0.07838939999055583,0.7466666666666667,0.7462606837606838,0.8090104907539118
Synthetic,7,spearman,product,global,0.0900264999945648,0.74,0.7397107897664071,0.8055876600284495
Synthetic,7,pearson,min,global,0.08514819999982137,0.7466666666666667,0.7462606837606838,0.8063655761024182
Synthetic,7,pearson,mean,global,0.07705320000241045,0.7633333333333333,0.7632675743262017,0.8035650782361309
Synthetic,7,pearson,product,node,0.08220239999354817,0.7666666666666667,0.7665732959850606,0.8201902560455192
Synthetic,8,pearson,product,global,0.10360079999372829,0.7766666666666666,0.7766443310997766,0.8188122332859175
Synthetic,8,spearman,product,global,0.08404809999046847,0.7666666666666667,0.7665732959850606,0.8189011379800853
Synthetic,8,pearson,min,global,0.07574539999768604,0.7766666666666666,0.7766443310997766,0.8129667496443813
Synthetic,8,pearson,mean,global,0.07830850000027567,0.73,0.7299969999666662,0.8008534850640114
Synthetic,8,pearson,product,node,0.11203469999600202,0.79,0.7898108297467721,0.8300364509246088
Synthetic,9,pearson,product,global,0.06728390000353102,0.7733333333333333,0.7723214285714286,0.8353929587482218
Synthetic,9,spearman,product,global,0.0969290000066394,0.7766666666666666,0.7759472082576273,0.8380378733997155
Synthetic,9,pearson,min,global,0.11570120000396855,0.7766666666666666,0.7759472082576273,0.8416162873399715
Synthetic,9,pearson,mean,global,0.11090589998639189,0.7866666666666666,0.7857142857142858,0.8461948790896159
Synthetic,9,pearson,product,node,0.09208899999794085,0.7733333333333333,0.7723214285714286,0.8353929587482218
